Year,Win.Score,Lose.Score,Total.Score
1877,1,1,2
1877,6,5,11
1877,3,2,5
1877,14,10,24
1877,9,15,24
1877,6,5,11
1877,9,18,27
1877,8,12,20
1877,6,24,30
1877,6,2,8
1877,1,0,1
1877,3,2,5
1877,5,0,5
1877,2,12,14
1877,7,1,8
1877,6,2,8
1877,9,5,14
1877,5,0,5
1877,6,4,10
1877,8,7,15
1877,4,2,6
1877,5,4,9
1877,6,2,8
1877,7,12,19
1877,7,4,11
1877,5,4,9
1877,6,11,17
1877,7,12,19
1877,3,1,4
1877,8,2,10
1877,2,10,12
1877,9,2,11
1877,6,18,24
1877,5,12,17
1877,6,1,7
1877,6,11,17
1877,1,0,1
1877,7,0,7
1877,2,13,15
1877,5,4,9
1877,2,11,13
1877,3,1,4
1877,7,0,7
1877,3,10,13
1877,7,6,13
1877,8,4,12
1877,5,3,8
1877,9,7,16
1877,3,2,5
1877,13,0,13
1877,13,1,14
1877,13,11,24
1877,6,0,6
1877,5,3,8
1877,5,4,9
1877,4,2,6
1877,11,0,11
1877,4,1,5
1877,3,1,4
1877,6,2,8
1877,9,7,16
1877,5,2,7
1877,6,3,9
1877,9,5,14
1877,2,12,14
1877,10,1,11
1877,7,6,13
1877,6,1,7
1877,5,10,15
1877,3,2,5
1877,4,14,18
1877,6,2,8
1877,9,14,23
1877,9,15,24
1877,8,6,14
1877,6,3,9
1877,7,4,11
1877,9,4,13
1877,3,10,13
1877,8,3,11
1877,3,2,5
1877,6,5,11
1877,3,13,16
1877,4,18,22
1877,2,10,12
1877,7,10,17
1877,13,11,24
1877,8,3,11
1877,7,5,12
1877,6,11,17
1877,3,1,4
1877,9,8,17
1877,7,4,11
1877,5,1,6
1877,7,1,8
1877,9,2,11
1877,3,2,5
1877,9,1,10
1877,7,0,7
1877,3,1,4
1877,15,1,16
1877,5,3,8
1877,9,15,24
1877,8,2,10
1877,7,2,9
1877,7,21,28
1877,4,1,5
1877,4,2,6
1877,5,3,8
1877,2,10,12
1877,9,13,22
1877,4,2,6
1877,7,4,11
1877,7,5,12
1877,6,3,9
1877,8,2,10
1877,13,10,23
1877,6,1,7
1877,6,12,18
1877,4,12,16
1877,4,3,7
1877,8,5,13
1877,5,1,6
1877,7,0,7
1877,7,0,7
1877,4,10,14
1877,1,1,2
1877,8,6,14
1877,4,3,7
1877,3,2,5
1877,8,12,20
1877,6,0,6
1877,5,1,6
1877,4,3,7
1877,7,13,20
1877,9,2,11
1877,6,3,9
1877,8,3,11
1877,14,0,14
1877,7,1,8
1877,7,1,8
1877,2,11,13
1877,1,0,1
1877,3,2,5
1877,1,0,1
1877,6,2,8
1877,6,15,21
1877,9,11,20
1877,3,0,3
1877,3,2,5
1877,8,1,9
1877,7,4,11
1877,5,2,7
1877,6,12,18
1877,7,2,9
1877,4,3,7
1877,5,13,18
1877,7,4,11
1877,7,1,8
1877,3,11,14
1877,9,11,20
1877,5,1,6
